State_abb,State,Date,Lat,Lon,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,Testing_Rate,Hospitalization_Rate
TX,Texas,2/16/2020,31.51025632,-98.252124,17,0,0,0,0,0,0,0,0,0
WA,Washington,2/16/2020,46.70352869,-119.3591342,16,0,13,0,0,0,0,0,0,0
WI,Wisconsin,2/16/2020,44.11921289,-89.35496561,19,0,3,0,0,0,0,0,0,0
AZ,Arizona,2/17/2020,32.92311986,-109.0097148,16,0,7,0,0,0,0,0,0,0
CA,California,2/17/2020,37.42948681,-120.2166639,44,0,10,0,0,0,0,0,0,0
IL,Illinois,2/17/2020,39.79487369,-88.65905633,26,0,27,0,0,0,0,0,0,0
MA,Massachusetts,2/17/2020,40.98575192,-69.50445945,15,0,4,0,0,0,0,0,0,0
TX,Texas,2/17/2020,31.51025632,-98.252124,14,0,0,0,0,0,0,0,0,0
WA,Washington,2/17/2020,46.70352869,-119.3591342,15,0,12,0,0,0,0,0,0,0
WI,Wisconsin,2/17/2020,44.11921289,-89.35496561,18,0,3,0,0,0,0,0,0,0
AZ,Arizona,2/18/2020,32.92311986,-109.0097148,15,0,8,0,0,0,0,0,0,0
CA,California,2/18/2020,37.42948681,-120.2166639,50,0,13,0,0,0,0,0,0,0
IL,Illinois,2/18/2020,39.79487369,-88.65905633,24,0,25,0,0,0,0,0,0,0
MA,Massachusetts,2/18/2020,40.98575192,-69.50445945,14,0,4,0,0,0,0,0,0,0
TX,Texas,2/18/2020,31.51025632,-98.252124,11,0,0,0,0,0,0,0,0,0
WA,Washington,2/18/2020,46.70352869,-119.3591342,14,0,11,0,0,0,0,0,0,0
WI,Wisconsin,2/18/2020,44.11921289,-89.35496561,18,0,3,0,0,0,0,0,0,0
AZ,Arizona,2/19/2020,32.92311986,-109.0097148,14,0,8,0,0,0,0,0,0,0
CA,California,2/19/2020,37.42948681,-120.2166639,57,0,16,0,0,0,0,0,0,0
IL,Illinois,2/19/2020,39.79487369,-88.65905633,23,0,23,0,0,0,0,0,0,0
MA,Massachusetts,2/19/2020,40.98575192,-69.50445945,14,0,5,0,0,0,0,0,0,0
TX,Texas,2/19/2020,31.51025632,-98.252124,8,0,0,0,0,0,0,0,0,0
WA,Washington,2/19/2020,46.70352869,-119.3591342,14,0,10,0,0,0,0,0,0,0
WI,Wisconsin,2/19/2020,44.11921289,-89.35496561,17,0,4,0,0,0,0,0,0,0
AZ,Arizona,2/20/2020,32.92311986,-109.0097148,14,0,9,0,0,0,0,0,0,0
CA,California,2/20/2020,37.42948681,-120.2166639,64,0,18,0,0,0,0,0,0,0
IL,Illinois,2/20/2020,39.79487369,-88.65905633,22,0,21,0,0,0,0,0,0,0
MA,Massachusetts,2/20/2020,40.98575192,-69.50445945,13,0,5,0,0,0,0,0,0,0
TX,Texas,2/20/2020,31.51025632,-98.252124,5,0,0,0,0,0,0,0,0,0
WA,Washington,2/20/2020,46.70352869,-119.3591342,13,1,10,0,0,0,0,0,0,0
WI,Wisconsin,2/20/2020,44.11921289,-89.35496561,16,0,4,0,0,0,0,0,0,0
AZ,Arizona,2/21/2020,32.92311986,-109.0097148,14,0,9,0,0,0,0,0,0,0
CA,California,2/21/2020,37.42948681,-120.2166639,71,0,21,0,0,0,0,0,0,0
IL,Illinois,2/21/2020,39.79487369,-88.65905633,20,0,19,0,0,0,0,0,0,0
MA,Massachusetts,2/21/2020,40.98575192,-69.50445945,12,0,5,0,0,0,0,0,0,0
NE,Nebraska,2/21/2020,41.11807146,-98.34769384,11,0,0,0,0,0,0,0,0,0
TX,Texas,2/21/2020,31.51025632,-98.252124,4,0,0,0,0,0,0,0,0,0
WA,Washington,2/21/2020,46.70352869,-119.3591342,12,1,9,0,0,0,0,0,0,0
WI,Wisconsin,2/21/2020,44.11921289,-89.35496561,15,0,4,0,0,0,0,0,0,0
AZ,Arizona,2/22/2020,32.92311986,-109.0097148,13,0,10,0,0,0,0,0,0,0
CA,California,2/22/2020,37.42948681,-120.2166639,38,0,0,0,0,0,0,0,0,0
IL,Illinois,2/22/2020,39.79487369,-88.65905633,18,0,17,0,0,0,0,0,0,0
MA,Massachusetts,2/22/2020,40.98575192,-69.50445945,12,0,5,0,0,0,0,0,0,0
NE,Nebraska,2/22/2020,41.11807146,-98.34769384,22,0,0,0,0,0,0,0,0,0
TX,Texas,2/22/2020,31.51025632,-98.252124,4,0,0,0,0,0,0,0,0,0
WA,Washington,2/22/2020,46.70352869,-119.3591342,12,1,8,0,0,0,0,0,0,0
WI,Wisconsin,2/22/2020,44.11921289,-89.35496561,14,0,4,0,0,0,0,0,0,0
AZ,Arizona,2/23/2020,32.92311986,-109.0097148,12,0,10,0,0,0,0,0,0,0
CA,California,2/23/2020,37.42948681,-120.2166639,19,0,0,0,0,0,0,0,0,0
IL,Illinois,2/23/2020,39.79487369,-88.65905633,16,0,15,0,0,0,0,0,0,0
MA,Massachusetts,2/23/2020,40.98575192,-69.50445945,11,0,6,0,0,0,0,0,0,0
NE,Nebraska,2/23/2020,41.11807146,-98.34769384,11,0,0,0,0,0,0,0,0,0
TX,Texas,2/23/2020,31.51025632,-98.252124,2,0,0,0,0,0,0,0,0,0
WA,Washington,2/23/2020,46.70352869,-119.3591342,11,1,7,0,0,0,0,0,0,0
WI,Wisconsin,2/23/2020,44.11921289,-89.35496561,14,0,5,0,0,0,0,0,0,0
AZ,Arizona,2/24/2020,32.92311986,-109.0097148,12,0,11,0,0,0,0,0,0,0
CA,California,2/24/2020,37.42948681,-120.2166639,14,0,0,0,0,0,0,0,0,0
IL,Illinois,2/24/2020,39.79487369,-88.65905633,14,0,13,0,0,0,0,0,0,0
MA,Massachusetts,2/24/2020,40.98575192,-69.50445945,10,0,6,0,0,0,0,0,0,0
NE,Nebraska,2/24/2020,41.11807146,-98.34769384,6,0,0,0,0,0,0,0,0,0
TX,Texas,2/24/2020,31.51025632,-98.252124,1,0,0,0,0,0,0,0,0,0
WA,Washington,2/24/2020,46.70352869,-119.3591342,10,1,6,0,0,0,0,0,0,0
WI,Wisconsin,2/24/2020,44.11921289,-89.35496561,13,0,5,0,0,0,0,0,0,0
AZ,Arizona,2/25/2020,32.92311986,-109.0097148,11,0,11,0,0,0,0,0,0,0
CA,California,2/25/2020,37.42948681,-120.2166639,15,0,0,0,0,0,0,0,0,0
IL,Illinois,2/25/2020,39.79487369,-88.65905633,12,0,12,0,0,0,0,0,0,0
MA,Massachusetts,2/25/2020,40.98575192,-69.50445945,9,0,6,0,0,0,0,0,0,0
NE,Nebraska,2/25/2020,41.11807146,-98.34769384,4,0,0,0,0,0,0,0,0,0
TX,Texas,2/25/2020,31.51025632,-98.252124,1,0,0,0,0,0,0,0,0,0
WA,Washington,2/25/2020,46.70352869,-119.3591342,10,1,5,0,0,0,0,0,0,0
WI,Wisconsin,2/25/2020,44.11921289,-89.35496561,12,0,5,0,0,0,0,0,0,0
AZ,Arizona,2/26/2020,32.92311986,-109.0097148,10,0,9,0,0,0,0,0,0,0
CA,California,2/26/2020,37.42948681,-120.2166639,16,0,0,0,0,0,0,0,0,0
IL,Illinois,2/26/2020,39.79487369,-88.65905633,10,0,10,0,0,0,0,0,0,0
MA,Massachusetts,2/26/2020,40.98575192,-69.50445945,8,0,6,0,0,0,0,0,0,0
NE,Nebraska,2/26/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
TX,Texas,2/26/2020,31.51025632,-98.252124,1,0,0,0,0,0,0,0,0,0
WA,Washington,2/26/2020,46.70352869,-119.3591342,9,1,4,0,0,0,0,0,0,0
WI,Wisconsin,2/26/2020,44.11921289,-89.35496561,12,0,5,0,0,0,0,0,0,0
AZ,Arizona,2/27/2020,32.92311986,-109.0097148,9,0,8,0,0,0,0,0,0,0
CA,California,2/27/2020,37.42948681,-120.2166639,24,0,0,0,0,0,0,0,0,0
IL,Illinois,2/27/2020,39.79487369,-88.65905633,8,0,8,0,0,0,0,0,0,0
MA,Massachusetts,2/27/2020,40.98575192,-69.50445945,8,0,7,0,0,0,0,0,0,0
NE,Nebraska,2/27/2020,41.11807146,-98.34769384,2,0,0,0,0,0,0,0,0,0
TX,Texas,2/27/2020,31.51025632,-98.252124,1,0,0,0,0,0,0,0,0,0
WA,Washington,2/27/2020,46.70352869,-119.3591342,8,1,3,0,0,0,0,0,0,0
WI,Wisconsin,2/27/2020,44.11921289,-89.35496561,11,0,6,0,0,0,0,0,0,0
AZ,Arizona,2/28/2020,32.92311986,-109.0097148,8,0,6,0,0,0,0,0,0,0
CA,California,2/28/2020,37.42948681,-120.2166639,15,0,1,0,0,0,0,0,0,0
IL,Illinois,2/28/2020,39.79487369,-88.65905633,6,0,6,0,0,0,0,0,0,0
MA,Massachusetts,2/28/2020,40.98575192,-69.50445945,7,0,7,0,0,0,0,0,0,0
