,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
134,1/22/2020,Portugal,0,0,0,0,0,0,0
135,1/22/2020,Qatar,0,0,0,0,0,0,0
136,1/22/2020,Romania,0,0,0,0,0,0,0
137,1/22/2020,Russia,0,0,0,0,0,0,0
138,1/22/2020,Rwanda,0,0,0,0,0,0,0
139,1/22/2020,Saint Kitts and Nevis,0,0,0,0,0,0,0
140,1/22/2020,Saint Lucia,0,0,0,0,0,0,0
141,1/22/2020,Saint Vincent and the Grenadines,0,0,0,0,0,0,0
142,1/22/2020,San Marino,0,0,0,0,0,0,0
143,1/22/2020,Sao Tome and Principe,0,0,0,0,0,0,0
144,1/22/2020,Saudi Arabia,0,0,0,0,0,0,0
145,1/22/2020,Senegal,0,0,0,0,0,0,0
146,1/22/2020,Serbia,0,0,0,0,0,0,0
147,1/22/2020,Seychelles,0,0,0,0,0,0,0
148,1/22/2020,Sierra Leone,0,0,0,0,0,0,0
149,1/22/2020,Singapore,0,0,0,0,0,0,0
150,1/22/2020,Slovakia,0,0,0,0,0,0,0
151,1/22/2020,Slovenia,0,0,0,0,0,0,0
152,1/22/2020,Somalia,0,0,0,0,0,0,0
153,1/22/2020,South Africa,0,0,0,0,0,0,0
154,1/22/2020,South Sudan,0,0,0,0,0,0,0
155,1/22/2020,Spain,0,0,0,0,0,0,0
156,1/22/2020,Sri Lanka,0,0,0,0,0,0,0
157,1/22/2020,Sudan,0,0,0,0,0,0,0
158,1/22/2020,Suriname,0,0,0,0,0,0,0
159,1/22/2020,Sweden,0,0,0,0,0,0,0
160,1/22/2020,Switzerland,0,0,0,0,0,0,0
161,1/22/2020,Syria,0,0,0,0,0,0,0
162,1/22/2020,Taiwan*,1,0,0,1,0,0,0
163,1/22/2020,Tajikistan,0,0,0,0,0,0,0
164,1/22/2020,Tanzania,0,0,0,0,0,0,0
165,1/22/2020,Thailand,2,0,0,2,0,0,0
166,1/22/2020,Timor-Leste,0,0,0,0,0,0,0
167,1/22/2020,Togo,0,0,0,0,0,0,0
168,1/22/2020,Trinidad and Tobago,0,0,0,0,0,0,0
169,1/22/2020,Tunisia,0,0,0,0,0,0,0
170,1/22/2020,Turkey,0,0,0,0,0,0,0
171,1/22/2020,US,1,0,0,1,0,0,0
172,1/22/2020,Uganda,0,0,0,0,0,0,0
173,1/22/2020,Ukraine,0,0,0,0,0,0,0
174,1/22/2020,United Arab Emirates,0,0,0,0,0,0,0
175,1/22/2020,United Kingdom,0,0,0,0,0,0,0
176,1/22/2020,Uruguay,0,0,0,0,0,0,0
177,1/22/2020,Uzbekistan,0,0,0,0,0,0,0
178,1/22/2020,Venezuela,0,0,0,0,0,0,0
179,1/22/2020,Vietnam,0,0,0,0,0,0,0
180,1/22/2020,West Bank and Gaza,0,0,0,0,0,0,0
181,1/22/2020,Western Sahara,0,0,0,0,0,0,0
182,1/22/2020,Yemen,0,0,0,0,0,0,0
183,1/22/2020,Zambia,0,0,0,0,0,0,0
184,1/22/2020,Zimbabwe,0,0,0,0,0,0,0
185,1/23/2020,Afghanistan,0,0,0,0,0,0,0
186,1/23/2020,Albania,0,0,0,0,0,0,0
187,1/23/2020,Algeria,0,0,0,0,0,0,0
188,1/23/2020,Andorra,0,0,0,0,0,0,0
189,1/23/2020,Angola,0,0,0,0,0,0,0
190,1/23/2020,Antigua and Barbuda,0,0,0,0,0,0,0
